run,level,shot,actual_size,required_delay_ms,applied_delay_ms,calibration_error_ms
1#2,1,28,MP24,143.0,169.0,26.0
1#4,3,10,MP24,53.0,668.0,615.0
1#4,3,22,MP24,242.0,648.0,406.0
1#5,3,13,MP24,198.0,851.0,653.0
1#5,3,20,MP24,274.0,524.0,250.0
1#7,4,17,MP24,349.0,27.0,-322.0
1#8,4,13,MP24,74.0,260.0,186.0
1#8,4,18,MP24,307.0,515.0,208.0
1#10,5,5,MP12,41.0,663.0,622.0
1#10,5,6,MP12,277.0,1369.0,1092.0
1#10,5,7,MP12,437.0,719.0,282.0
1#10,5,8,MP12,228.0,453.0,225.0
1#10,5,9,MP12,486.0,453.0,-33.0
1#10,5,10,MP12,352.0,553.0,201.0
1#10,5,11,MP12,406.0,833.0,427.0
1#10,5,12,MP12,547.0,1146.0,599.0
1#10,5,13,MP12,384.0,1125.0,741.0
1#10,5,14,MP12,91.0,703.0,612.0
1#10,5,18,MP12,26.0,685.0,659.0
1#10,5,19,MP12,118.0,720.0,602.0
1#10,5,20,MP12,123.0,615.0,492.0
1#10,5,21,MP12,28.0,573.0,545.0
1#10,5,22,MP12,204.0,652.0,448.0
1#10,5,23,MP12,191.0,736.0,545.0
1#10,5,24,MP12,521.0,861.0,340.0
1#10,5,25,MP12,378.0,778.0,400.0
1#10,5,26,MP12,323.0,819.0,496.0
1#10,5,27,MP12,198.0,731.0,533.0
1#10,5,28,MP12,140.0,800.0,660.0
1#13,5,7,MP12,301.0,106.0,-195.0
1#13,5,8,MP12,246.0,698.0,452.0
1#17,6,8,MP12,102.0,573.0,471.0
1#18,6,6,MP12,233.0,975.0,742.0
1#18,6,7,MP12,582.0,1074.0,492.0
1#18,6,8,MP12,297.0,696.0,399.0
1#18,6,9,MP12,32.0,370.0,338.0
1#18,6,10,MP12,121.0,392.0,271.0
1#18,6,11,MP12,364.0,644.0,280.0
1#18,6,12,MP12,538.0,780.0,242.0
1#19,6,5,MP12,73.0,0.0,-73.0
1#19,6,6,MP12,538.0,533.0,-5.0
1#20,0,29,MP24,73.0,366.0,293.0
1#21,2,21,MP24,16.0,234.0,218.0
1#21,2,22,MP24,230.0,206.0,-24.0
1#21,2,23,MP24,112.0,164.0,52.0
1#21,2,24,MP24,727.0,213.0,-514.0
1#27,5,7,MP12,25.0,268.0,243.0
1#28,5,6,MP12,183.0,0.0,-183.0
1#30,6,7,MP12,310.0,787.0,477.0
1#31,1,29,MP24,57.0,79.0,22.0
1#31,1,30,MP24,77.0,78.0,1.0
2#6,4,3,MP24,26.0,1052.0,1026.0
2#7,5,4,MP12,157.0,408.0,251.0
2#10,5,4,MP12,478.0,690.0,212.0
2#10,5,6,MP12,435.0,1164.0,729.0
2#10,5,9,MP12,328.0,1034.0,706.0
2#10,5,10,MP12,423.0,1263.0,840.0
2#10,5,12,MP12,137.0,648.0,511.0
2#10,5,13,MP12,576.0,897.0,321.0
2#10,5,14,MP12,124.0,0.0,-124.0
2#15,4,11,MP24,530.0,0.0,-530.0
2#15,4,12,MP24,746.0,292.0,-454.0
2#16,5,4,MP12,474.0,2022.0,1548.0
2#17,1,28,MP24,64.0,0.0,-64.0
2#19,3,18,MP24,188.0,443.0,255.0
2#22,2,16,MP24,342.0,0.0,-342.0
2#23,3,20,MP24,144.0,0.0,-144.0
2#23,3,21,MP24,280.0,0.0,-280.0
2#24,1,28,MP24,97.0,0.0,-97.0
2#24,1,29,MP24,180.0,0.0,-180.0
2#27,2,29,MP24,177.0,0.0,-177.0
2#27,2,30,MP24,252.0,0.0,-252.0
2#28,2,25,MP24,70.0,0.0,-70.0
2#28,2,26,MP24,208.0,0.0,-208.0
2#29,2,25,MP24,56.0,0.0,-56.0
2#30,2,16,MP24,82.0,0.0,-82.0
2#30,2,18,MP24,323.0,0.0,-323.0
2#31,2,23,MP24,100.0,0.0,-100.0
2#33,0,29,MP24,11.0,0.0,-11.0
